Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
473,36.68599701,473,102.7583237,473,35.05168533,473,64.77059937,473,65.17073822,473,34.58103943,
472,36.57194519,472,102.5341721,472,35.07459641,472,64.76145935,472,65.16345978,472,34.58657074,
471,36.44142914,471,102.2977142,471,35.09561539,471,64.75297546,471,65.14840698,471,34.60618591,
470,36.31256104,470,102.0667572,470,35.07854462,470,64.74437714,470,65.13482666,470,34.61844254,
469,36.18483353,469,101.826622,469,35.09159088,469,64.740242,469,65.12431335,469,34.6241188,
468,36.05612946,468,101.5915833,468,35.13338089,468,64.72000885,468,65.11036682,468,34.64229584,
467,35.92667007,467,101.336525,467,35.12416458,467,64.7000885,467,65.09108734,467,34.65544128,
466,35.78886795,466,101.0801697,466,35.16225052,466,64.69087219,466,65.08267212,466,34.66594696,
465,35.673069,465,100.819519,465,35.15140152,465,64.67147827,465,65.06741333,465,34.68525314,
464,35.5366745,464,100.572052,464,35.17791748,464,64.65397644,464,65.0431366,464,34.69445419,
463,35.42800522,463,100.307312,463,35.15564346,463,64.63985443,463,65.02307892,463,34.70083618,
462,35.30398178,462,100.0273438,462,35.1654129,462,64.61417389,462,65.0037384,462,34.71834946,
461,35.18726349,461,99.75488281,461,35.20812988,461,64.59823608,461,65.00627136,461,34.73414612,
460,35.07417679,460,99.45720673,460,35.20861435,460,64.61584473,460,64.98545074,460,34.74653625,
459,34.95817566,459,99.16182709,459,35.22706604,459,64.62317657,459,64.97577667,459,34.76689911,
458,34.86223984,458,98.8578949,458,35.24000168,458,64.55808258,458,64.96095276,458,34.77012634,
457,34.76800537,457,98.55493164,457,35.28351593,457,64.56996155,457,64.94915771,457,34.78105545,
456,34.66822052,456,98.23590851,456,35.28696442,456,64.52349854,456,64.93101501,456,34.80379868,
455,34.5822525,455,97.90473938,455,35.29473495,455,64.53871918,455,64.92015076,455,34.80553818,
454,34.51268005,454,97.57261658,454,35.28848267,454,64.51194,454,64.89720154,454,34.82691956,
453,34.41815567,453,97.23551178,453,35.28796005,453,64.51718903,453,64.87522125,453,34.83236313,
452,34.36174393,452,96.87734222,452,35.31384277,452,64.48079681,452,64.85806274,452,34.84700394,
451,34.30314255,451,96.52100372,451,35.34623718,451,64.44937134,451,64.85353851,451,34.86267853,
450,34.24538803,450,96.14981079,450,35.34363937,450,64.45996094,450,64.8339386,450,34.8806839,
449,34.19519806,449,95.78619385,449,35.37012482,449,64.42414093,449,64.80283356,449,34.88998795,
448,34.14941406,448,95.39671326,448,35.39705658,448,64.44038391,448,64.79168701,448,34.90373611,
447,34.11607742,447,94.98714447,447,35.3984108,447,64.37823486,447,64.77552032,447,34.93577194,
446,34.08246994,446,94.60494232,446,35.39589691,446,64.38330078,446,64.76722717,446,34.93801498,
445,34.05642319,445,94.18196106,445,35.45077896,445,64.3515625,445,64.74421692,445,34.94756317,
444,34.03610992,444,93.77200317,444,35.42154312,444,64.36708832,444,64.73899841,444,34.97093582,
443,34.00998688,443,93.35044098,443,35.44172287,443,64.33351898,443,64.71078491,443,34.98151779,
442,33.98912048,442,92.94145966,442,35.45648956,442,64.30131531,442,64.69572449,442,34.99332428,
441,33.97386551,441,92.5334549,441,35.45674133,441,64.29289246,441,64.66965485,441,35.01243973,
440,33.95096207,440,92.10121918,440,35.48794937,440,64.26022339,440,64.67350006,440,35.02823257,
439,33.92520142,439,91.66995239,439,35.51896667,439,64.24713135,439,64.64344025,439,35.04637146,
438,33.89942169,438,91.27048492,438,35.51116943,438,64.26494598,438,64.59462738,438,35.05239487,
437,33.87336731,437,90.84316254,437,35.50470352,437,64.21453857,437,64.60259247,437,35.07268524,
436,33.83612061,436,90.43441772,436,35.54631042,436,64.19283295,436,64.55770111,436,35.10259628,
435,33.79445267,435,90.03450775,435,35.54111099,435,64.15403748,435,64.54911041,435,35.1035614,
434,33.72486877,434,89.62950134,434,35.59919739,434,64.14812469,434,64.51652527,434,35.1003952,
433,33.66790009,433,89.27090454,433,35.52527618,433,64.11354828,433,64.45552063,433,35.1182518,
432,33.59657288,432,88.88285065,432,35.53981018,432,64.02531433,432,64.42635345,432,35.12555313,
431,33.51079941,431,88.5427475,431,35.53164291,431,63.9498291,431,64.35333252,431,35.11765289,
430,33.40352249,430,88.16168213,430,35.56154633,430,63.87909698,430,64.23499298,430,35.10373688,
429,33.28606796,429,87.82975006,429,35.56176376,429,63.71182251,429,64.06024933,429,35.04853058,
428,33.17053986,428,87.47788239,428,35.45653152,428,63.45701981,428,63.82237625,428,34.98248291,
427,33.05092239,427,87.14381409,427,35.3650589,427,63.09983063,427,63.45434189,427,34.83845139,
